Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_2",3,5.0,0.9,2,0.11187159505372947,0.1640204044128553,2.247331481084197,0.15180319098191133,27.812079069124035,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_3",3,5.0,0.9,3,0.10513138308742061,0.16782422410280382,2.2660570850572572,0.14891404262976077,27.739836481572528,3,0.015630722045898438
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_4",3,5.0,0.9,4,0.10919330531591193,0.11435745385266242,2.1647542145818286,0.18234380010939913,27.534241838297284,3,0.01556539535522461
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_5",3,5.0,0.9,5,0.08406278507154642,0.12174309633116646,2.2086798886599452,0.17273344129742826,27.625227706111907,3,0.012444257736206055
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_6",3,5.0,0.9,6,0.11044333123790519,0.15493818383030286,2.254279997917233,0.15003354142934347,27.693221741634794,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_7",3,5.0,0.9,7,0.10273356676796969,0.14298482118607805,2.252596243621114,0.15078875141626696,27.68882526144882,3,0.015593767166137695
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_8",3,5.0,0.9,8,0.10513138308742061,0.16782422410280382,2.2660570850572572,0.14891404262976077,27.739836481572528,3,0.015626192092895508
"FuzzyCMeans(n_clusters=3, fuzziness=5, rho=0.9)_9",3,5.0,0.9,9,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_0",3,6.0,0.5,0,0.04982912894914474,0.10918314148882802,2.2126409056924463,0.16584785661541213,27.390851005043594,3,0.015623092651367188
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_1",3,6.0,0.5,1,0.06557493437565459,0.10855698271174928,2.2415033104315074,0.1696162188188383,27.16955226875717,3,0.015624761581420898
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_2",3,6.0,0.5,2,0.11466043244475979,0.17835387903409924,2.0288422759406077,0.1192855005129145,25.441090911866088,3,0.01563119888305664
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_3",3,6.0,0.5,3,0.0740672622998034,0.0944611271384562,2.2833394490033676,0.15388281132293066,27.556562790198697,3,0.0
