Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=4k)_0",7,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.17504358291625977
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=2k)_0",8,euclidean,2k,0,0.03979803287425118,0.1151454776454075,1.7256686450114205,0.16375037510045798,18.666415746375055,8,0.07329320907592773
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=3k)_0",8,euclidean,3k,0,0.07486545793786184,0.15507222819753827,1.762912937523806,0.14750953439120157,16.380250246847474,8,0.07628369331359863
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=4k)_0",8,euclidean,4k,0,0.05395831226402205,0.12755991728566562,1.7526659499000297,0.1564682684004536,16.737138470286023,8,0.11240816116333008
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=2k)_0",8,manhattan,2k,0,0.1103844439140555,0.15530812063846056,1.771973468509294,0.15651145174354555,17.274423536753133,8,0.08140110969543457
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=3k)_0",8,manhattan,3k,0,0.0766935895543166,0.12602680011395986,1.858376799616103,0.1524277540152474,15.812168019480236,8,0.3748807907104492
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=4k)_0",8,manhattan,4k,0,0.102482295648223,0.15441112375417057,1.927516154724494,0.15535792097853535,16.23119615317317,8,0.3000955581665039
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=2k)_0",8,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.14987397193908691
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=3k)_0",8,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.1356945037841797
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=4k)_0",8,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.17708134651184082
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=2k)_0",9,euclidean,2k,0,0.02564672498291513,0.10475791042116436,1.635760170674894,0.164836613060563,17.91356531364182,9,0.10004520416259766
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=3k)_0",9,euclidean,3k,0,0.06332161887674777,0.14268944181522428,1.6845119988466613,0.15508781657212856,15.71802484828648,9,0.11304736137390137
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=4k)_0",9,euclidean,4k,0,0.07678018891967298,0.1779140564726499,1.5892344756652153,0.12932387236290901,15.674893671824817,9,0.0950460433959961
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=2k)_0",9,manhattan,2k,0,0.09901231408171544,0.146994284668436,1.731116696466007,0.16199590019556437,16.470250633200166,9,0.09035968780517578
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=3k)_0",9,manhattan,3k,0,0.07015496444109094,0.11059357559905846,1.8162742288912024,0.16375815303730773,15.74508380071382,9,0.10128664970397949
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=4k)_0",9,manhattan,4k,0,0.08717844036958478,0.14939081331749945,1.7260778720900214,0.17132407415847709,17.20700554868503,9,0.12029266357421875
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=2k)_0",9,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.09647297859191895
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=3k)_0",9,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.12085247039794922
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=4k)_0",9,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.12586641311645508
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=2k)_0",10,euclidean,2k,0,0.0441681576520864,0.13003411103203202,1.5717218484278845,0.17120823792656575,17.57286386642667,10,0.09039759635925293
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=3k)_0",10,euclidean,3k,0,0.07278151215041659,0.14433783246054305,1.8283926858664183,0.15188846808298923,14.643575350519285,10,0.09982490539550781
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=4k)_0",10,euclidean,4k,0,0.06721601476152338,0.1440616107238031,1.578501786170669,0.1494223288253736,14.807313199374324,10,0.12963175773620605
