Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_0",5,manhattan,0,0.21334302959748125,0.14967373798229128,1.9850429115051273,0.18309233591096133,19.39606879201842,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_1",5,manhattan,1,0.11752894498135466,0.10485890769176305,2.0762567893549546,0.17363456443859565,21.23166297731077,5,0.015603303909301758
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_2",5,manhattan,2,0.22918760300628419,0.152026958607083,2.082825955308837,0.17120973841177195,17.526699396545474,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_3",5,manhattan,3,0.16343083131398717,0.11375573374633483,1.86084255810574,0.17930121297866128,20.505242550874744,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_4",5,manhattan,4,0.15797994663374523,0.14473765425615734,2.170955782796992,0.16658781584212135,19.39172945272534,5,0.015599727630615234
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_5",5,manhattan,5,0.16517625140647885,0.165255028022501,2.004764633254587,0.16301488533575545,20.76649395163414,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_6",5,manhattan,6,0.10676689457082589,0.1490369248693317,2.152490750084911,0.14775152960363272,21.0733557790694,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_7",5,manhattan,7,0.20847750490435957,0.17054940620089365,1.8917043913306746,0.1785928150008332,21.167825975786148,5,0.0021409988403320312
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_8",5,manhattan,8,0.1879435775468469,0.1366699681677859,1.8339985578067803,0.18437575326768285,20.92680836843333,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=manhattan)_9",5,manhattan,9,0.18581557459866296,0.13840164652131137,2.0094272577040457,0.17318644643072434,18.607245017676412,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_0",5,clark,0,0.23456398855909935,0.21696502677911458,2.4817583478613003,-0.012097157663579284,14.752221901578162,4,0.004062175750732422
