Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 3, manhattan_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.863255262374878,0.3533862678183106
"KNN, 3, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.777679443359375,0.3533862678183106
"KNN, 3, manhattan_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.8117763996124268,0.3533862678183106
"KNN, 3, clark_distance, reliefF_weight, majority_class",Mushroom/0,0.7977805178791615,4.904676675796509,0.7888784083167759
"KNN, 3, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.7977805178791615,4.802886962890625,0.7888784083167759
"KNN, 3, clark_distance, reliefF_weight, shepard",Mushroom/0,0.7977805178791615,4.917781114578247,0.7888784083167759
"KNN, 5, euclidean_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.940751552581787,0.3533862678183106
"KNN, 5, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.8899729251861572,0.3533862678183106
"KNN, 5, euclidean_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.9156339168548584,0.3533862678183106
"KNN, 5, manhattan_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.9291362762451172,0.3533862678183106
"KNN, 5, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.8295304775238037,0.3533862678183106
"KNN, 5, manhattan_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.8341960906982422,0.3533862678183106
"KNN, 5, clark_distance, reliefF_weight, majority_class",Mushroom/0,0.8039457459926017,4.876330614089966,0.7958526368977077
"KNN, 5, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.8039457459926017,4.8284876346588135,0.7958526368977077
"KNN, 5, clark_distance, reliefF_weight, shepard",Mushroom/0,0.8039457459926017,4.93979024887085,0.7958526368977077
"KNN, 7, euclidean_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.9402847290039062,0.3533862678183106
"KNN, 7, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.8347196578979492,0.3533862678183106
"KNN, 7, euclidean_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.8738160133361816,0.3533862678183106
"KNN, 7, manhattan_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.8892991542816162,0.3533862678183106
"KNN, 7, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.8107199668884277,0.3533862678183106
"KNN, 7, manhattan_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.854140281677246,0.3533862678183106
"KNN, 7, clark_distance, reliefF_weight, majority_class",Mushroom/0,0.7854500616522812,4.787707090377808,0.7747640076435967
"KNN, 7, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.7854500616522812,4.780307769775391,0.7747640076435967
"KNN, 7, clark_distance, reliefF_weight, shepard",Mushroom/0,0.7854500616522812,4.695801734924316,0.7747640076435967
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/1,1.0,2.0152928829193115,1.0
"KNN, 1, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.9057395458221436,1.0
"KNN, 1, euclidean_distance, equal_weight, shepard",Mushroom/1,1.0,1.8454596996307373,1.0
"KNN, 1, manhattan_distance, equal_weight, majority_class",Mushroom/1,1.0,1.8986718654632568,1.0
"KNN, 1, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.8520362377166748,1.0
"KNN, 1, manhattan_distance, equal_weight, shepard",Mushroom/1,1.0,1.8103063106536865,1.0
"KNN, 1, clark_distance, equal_weight, majority_class",Mushroom/1,1.0,4.969068765640259,1.0
"KNN, 1, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,4.874632120132446,1.0
"KNN, 1, clark_distance, equal_weight, shepard",Mushroom/1,1.0,4.6074676513671875,1.0
"KNN, 3, euclidean_distance, equal_weight, majority_class",Mushroom/1,1.0,1.9009816646575928,1.0
"KNN, 3, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.8046550750732422,1.0
"KNN, 3, euclidean_distance, equal_weight, shepard",Mushroom/1,1.0,2.0040180683135986,1.0
"KNN, 3, manhattan_distance, equal_weight, majority_class",Mushroom/1,1.0,1.8927080631256104,1.0
"KNN, 3, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.8150229454040527,1.0
"KNN, 3, manhattan_distance, equal_weight, shepard",Mushroom/1,1.0,1.8594622611999512,1.0
"KNN, 3, clark_distance, equal_weight, majority_class",Mushroom/1,1.0,4.982449531555176,1.0
"KNN, 3, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,4.919559478759766,1.0
"KNN, 3, clark_distance, equal_weight, shepard",Mushroom/1,1.0,4.990279197692871,1.0
"KNN, 5, euclidean_distance, equal_weight, majority_class",Mushroom/1,1.0,1.9123435020446777,1.0
"KNN, 5, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.8395774364471436,1.0
"KNN, 5, euclidean_distance, equal_weight, shepard",Mushroom/1,1.0,1.8754093647003174,1.0
"KNN, 5, manhattan_distance, equal_weight, majority_class",Mushroom/1,1.0,1.947577714920044,1.0
"KNN, 5, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.8133749961853027,1.0
"KNN, 5, manhattan_distance, equal_weight, shepard",Mushroom/1,1.0,1.8257057666778564,1.0
"KNN, 5, clark_distance, equal_weight, majority_class",Mushroom/1,1.0,4.957023620605469,1.0
"KNN, 5, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,4.791603088378906,1.0
"KNN, 5, clark_distance, equal_weight, shepard",Mushroom/1,1.0,4.817998647689819,1.0
"KNN, 7, euclidean_distance, equal_weight, majority_class",Mushroom/1,1.0,1.9765794277191162,1.0
"KNN, 7, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.913529634475708,1.0
"KNN, 7, euclidean_distance, equal_weight, shepard",Mushroom/1,1.0,1.8719871044158936,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class",Mushroom/1,1.0,1.8897993564605713,1.0
"KNN, 7, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,1.8369123935699463,1.0
"KNN, 7, manhattan_distance, equal_weight, shepard",Mushroom/1,1.0,1.882720708847046,1.0
"KNN, 7, clark_distance, equal_weight, majority_class",Mushroom/1,1.0,5.007458925247192,1.0
"KNN, 7, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/1,1.0,4.901294469833374,1.0
"KNN, 7, clark_distance, equal_weight, shepard",Mushroom/1,1.0,4.884052991867065,1.0
"KNN, 1, euclidean_distance, information_gain_weight, majority_class",Mushroom/1,0.9224137931034483,1.9299638271331787,0.9223086546055529
"KNN, 1, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9224137931034483,1.950810194015503,0.9223086546055529
"KNN, 1, euclidean_distance, information_gain_weight, shepard",Mushroom/1,0.9224137931034483,1.9058067798614502,0.9223086546055529
"KNN, 1, manhattan_distance, information_gain_weight, majority_class",Mushroom/1,0.9322660098522167,1.906252145767212,0.9321132878896599
"KNN, 1, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9322660098522167,1.8778891563415527,0.9321132878896599
"KNN, 1, manhattan_distance, information_gain_weight, shepard",Mushroom/1,0.9322660098522167,1.859501600265503,0.9321132878896599
"KNN, 1, clark_distance, information_gain_weight, majority_class",Mushroom/1,0.6761083743842364,4.9859442710876465,0.642972316883674
"KNN, 1, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.6761083743842364,4.813961029052734,0.642972316883674
"KNN, 1, clark_distance, information_gain_weight, shepard",Mushroom/1,0.6761083743842364,4.915105581283569,0.642972316883674
"KNN, 3, euclidean_distance, information_gain_weight, majority_class",Mushroom/1,0.9334975369458128,1.938692569732666,0.9334592037399578
"KNN, 3, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9334975369458128,1.8524353504180908,0.9334592037399578
"KNN, 3, euclidean_distance, information_gain_weight, shepard",Mushroom/1,0.9334975369458128,1.810180425643921,0.9334592037399578
"KNN, 3, manhattan_distance, information_gain_weight, majority_class",Mushroom/1,0.9334975369458128,1.9101512432098389,0.9333557819825717
"KNN, 3, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9334975369458128,1.8348348140716553,0.9333557819825717
"KNN, 3, manhattan_distance, information_gain_weight, shepard",Mushroom/1,0.9334975369458128,1.8111553192138672,0.9333557819825717
"KNN, 3, clark_distance, information_gain_weight, majority_class",Mushroom/1,0.6761083743842364,4.839338779449463,0.642972316883674
"KNN, 3, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.6761083743842364,4.747375011444092,0.642972316883674
"KNN, 3, clark_distance, information_gain_weight, shepard",Mushroom/1,0.6761083743842364,4.979164361953735,0.642972316883674
"KNN, 5, euclidean_distance, information_gain_weight, majority_class",Mushroom/1,0.9298029556650246,1.9879496097564697,0.9297461952832891
"KNN, 5, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9298029556650246,1.8559319972991943,0.9297461952832891
"KNN, 5, euclidean_distance, information_gain_weight, shepard",Mushroom/1,0.9298029556650246,1.8710107803344727,0.9297461952832891
"KNN, 5, manhattan_distance, information_gain_weight, majority_class",Mushroom/1,0.9334975369458128,1.9434432983398438,0.9333557819825717
"KNN, 5, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9334975369458128,1.793388843536377,0.9333557819825717
"KNN, 5, manhattan_distance, information_gain_weight, shepard",Mushroom/1,0.9334975369458128,1.83223295211792,0.9333557819825717
"KNN, 5, clark_distance, information_gain_weight, majority_class",Mushroom/1,0.6761083743842364,5.0244879722595215,0.642972316883674
"KNN, 5, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.6761083743842364,4.789788246154785,0.642972316883674
"KNN, 5, clark_distance, information_gain_weight, shepard",Mushroom/1,0.6761083743842364,4.79655909538269,0.642972316883674
"KNN, 7, euclidean_distance, information_gain_weight, majority_class",Mushroom/1,0.9334975369458128,1.899214744567871,0.9334592037399578
"KNN, 7, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9334975369458128,0.6681249141693115,0.9334592037399578
"KNN, 7, euclidean_distance, information_gain_weight, shepard",Mushroom/1,0.9334975369458128,0.7711148262023926,0.9334592037399578
"KNN, 7, manhattan_distance, information_gain_weight, majority_class",Mushroom/1,0.9334975369458128,0.7205371856689453,0.9333557819825717
"KNN, 7, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.9334975369458128,1.7020483016967773,0.9333557819825717
"KNN, 7, manhattan_distance, information_gain_weight, shepard",Mushroom/1,0.9334975369458128,1.8443152904510498,0.9333557819825717
"KNN, 7, clark_distance, information_gain_weight, majority_class",Mushroom/1,0.6761083743842364,3.218374729156494,0.642972316883674
"KNN, 7, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/1,0.6761083743842364,3.1567981243133545,0.642972316883674
"KNN, 7, clark_distance, information_gain_weight, shepard",Mushroom/1,0.6761083743842364,3.1469886302948,0.642972316883674
"KNN, 1, euclidean_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.1709675788879395,0.3526645768025078
"KNN, 1, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.107001543045044,0.3526645768025078
"KNN, 1, euclidean_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.1322081089019775,0.3526645768025078
"KNN, 1, manhattan_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.1603515148162842,0.3526645768025078
"KNN, 1, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.1126163005828857,0.3526645768025078
"KNN, 1, manhattan_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.0911948680877686,0.3526645768025078
"KNN, 1, clark_distance, reliefF_weight, majority_class",Mushroom/1,0.8066502463054187,3.0275580883026123,0.7985306742343898
"KNN, 1, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.8066502463054187,2.9081480503082275,0.7985306742343898
"KNN, 1, clark_distance, reliefF_weight, shepard",Mushroom/1,0.8066502463054187,3.090062379837036,0.7985306742343898
"KNN, 3, euclidean_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.1950764656066895,0.3526645768025078
"KNN, 3, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.103632926940918,0.3526645768025078
"KNN, 3, euclidean_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.2090458869934082,0.3526645768025078
"KNN, 3, manhattan_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.2061855792999268,0.3526645768025078
"KNN, 3, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.2216100692749023,0.3526645768025078
"KNN, 3, manhattan_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.171825885772705,0.3526645768025078
"KNN, 3, clark_distance, reliefF_weight, majority_class",Mushroom/1,0.8374384236453202,3.1585798263549805,0.8326226928029761
