Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=4k)_0",15,clark,4k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,2.2284793853759766
"GlobalKMeansAlgorithm(k=16, Distance_Metric=euclidean, N_Buckets=2k)_0",16,euclidean,2k,0,0.12608433037462805,0.2717048098472959,1.5266196182432579,0.25005417795278967,1268.71135100323,1.8239598274230957
"GlobalKMeansAlgorithm(k=16, Distance_Metric=euclidean, N_Buckets=3k)_0",16,euclidean,3k,0,0.14206631751390916,0.2962576233641299,1.5344686097171132,0.25486486635630967,1242.113191106967,1.620175838470459
"GlobalKMeansAlgorithm(k=16, Distance_Metric=euclidean, N_Buckets=4k)_0",16,euclidean,4k,0,0.13764594729985533,0.2941088601198396,1.50357669956946,0.25661882013485665,1256.1283539501337,1.6507742404937744
"GlobalKMeansAlgorithm(k=16, Distance_Metric=manhattan, N_Buckets=2k)_0",16,manhattan,2k,0,0.2402514134276039,0.37262141222873074,1.7580375987169548,0.2292489848737747,908.8396873426746,1.8194475173950195
"GlobalKMeansAlgorithm(k=16, Distance_Metric=manhattan, N_Buckets=3k)_0",16,manhattan,3k,0,0.21787123644508757,0.35488658230107156,1.6688471757099088,0.25708408213639916,1017.3635026284065,1.6185145378112793
"GlobalKMeansAlgorithm(k=16, Distance_Metric=manhattan, N_Buckets=4k)_0",16,manhattan,4k,0,0.19211206963482977,0.34400010499118516,1.5701574107930838,0.2654506901076018,1107.1449140506181,1.825155258178711
"GlobalKMeansAlgorithm(k=16, Distance_Metric=clark, N_Buckets=2k)_0",16,clark,2k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,3.8627922534942627
"GlobalKMeansAlgorithm(k=16, Distance_Metric=clark, N_Buckets=3k)_0",16,clark,3k,0,0.20224262355537548,0.3000283020296465,1.6589455040931136,0.1628180986973663,785.1898844695878,2.409597158432007
"GlobalKMeansAlgorithm(k=16, Distance_Metric=clark, N_Buckets=4k)_0",16,clark,4k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,2.706618547439575
"GlobalKMeansAlgorithm(k=17, Distance_Metric=euclidean, N_Buckets=2k)_0",17,euclidean,2k,0,0.12899380777274294,0.28214282771281635,1.5243057859600726,0.24998669520644043,1211.5733101962533,1.9909937381744385
"GlobalKMeansAlgorithm(k=17, Distance_Metric=euclidean, N_Buckets=3k)_0",17,euclidean,3k,0,0.13981978406341306,0.29212882370237686,1.543385503078004,0.2554274415104823,1194.9701499743408,1.9656624794006348
"GlobalKMeansAlgorithm(k=17, Distance_Metric=euclidean, N_Buckets=4k)_0",17,euclidean,4k,0,0.14068631351676514,0.29274570901381947,1.483588597587248,0.25773553254611403,1210.8793583657196,2.1106090545654297
"GlobalKMeansAlgorithm(k=17, Distance_Metric=manhattan, N_Buckets=2k)_0",17,manhattan,2k,0,0.23689777218614416,0.35766798294586505,1.6344558371524114,0.2500166393316804,1045.483314386028,1.576819658279419
"GlobalKMeansAlgorithm(k=17, Distance_Metric=manhattan, N_Buckets=3k)_0",17,manhattan,3k,0,0.2181659208491201,0.35937735458887643,1.733290920362262,0.2569975809581231,965.1749239151297,2.010355234146118
"GlobalKMeansAlgorithm(k=17, Distance_Metric=manhattan, N_Buckets=4k)_0",17,manhattan,4k,0,0.14797797070310795,0.33479136956064093,1.5514271780165294,0.2420198182213162,1097.6596044818011,1.8350422382354736
"GlobalKMeansAlgorithm(k=17, Distance_Metric=clark, N_Buckets=2k)_0",17,clark,2k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,4.432179927825928
"GlobalKMeansAlgorithm(k=17, Distance_Metric=clark, N_Buckets=3k)_0",17,clark,3k,0,0.2501635804422566,0.3707659568557523,1.7490724938937108,0.21856645494201601,827.0057129209315,2.1835381984710693
"GlobalKMeansAlgorithm(k=17, Distance_Metric=clark, N_Buckets=4k)_0",17,clark,4k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,2.8945374488830566
"GlobalKMeansAlgorithm(k=18, Distance_Metric=euclidean, N_Buckets=2k)_0",18,euclidean,2k,0,0.11540684629178512,0.26487747853290255,1.5814735361007743,0.2406883206853284,1153.5469718271345,2.268192768096924
"GlobalKMeansAlgorithm(k=18, Distance_Metric=euclidean, N_Buckets=3k)_0",18,euclidean,3k,0,0.13714751773979753,0.29027683960929235,1.5433544969221187,0.25613207686813616,1163.142587710592,2.05570650100708
"GlobalKMeansAlgorithm(k=18, Distance_Metric=euclidean, N_Buckets=4k)_0",18,euclidean,4k,0,0.12992639835389996,0.29698165410958083,1.4716580750268724,0.25345287379297565,1174.4591260518023,2.1399576663970947
"GlobalKMeansAlgorithm(k=18, Distance_Metric=manhattan, N_Buckets=2k)_0",18,manhattan,2k,0,0.22659871699743594,0.37207831760057375,1.7101401673451193,0.24999008524723507,893.9248432931091,2.2116076946258545
"GlobalKMeansAlgorithm(k=18, Distance_Metric=manhattan, N_Buckets=3k)_0",18,manhattan,3k,0,0.2181659208491201,0.35937735458887643,1.733290920362262,0.2569975809581231,965.1749239151297,1.9642529487609863
"GlobalKMeansAlgorithm(k=18, Distance_Metric=manhattan, N_Buckets=4k)_0",18,manhattan,4k,0,0.13123857686601922,0.30656530170557195,1.5931633264921021,0.238652120197864,1079.7745674001362,2.0447492599487305
"GlobalKMeansAlgorithm(k=18, Distance_Metric=clark, N_Buckets=2k)_0",18,clark,2k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,4.9312262535095215
"GlobalKMeansAlgorithm(k=18, Distance_Metric=clark, N_Buckets=3k)_0",18,clark,3k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,3.1986818313598633
"GlobalKMeansAlgorithm(k=18, Distance_Metric=clark, N_Buckets=4k)_0",18,clark,4k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,3.1127562522888184
"GlobalKMeansAlgorithm(k=19, Distance_Metric=euclidean, N_Buckets=2k)_0",19,euclidean,2k,0,0.12206316126238513,0.28569074205553685,1.5479328256267328,0.2506997482161878,1141.7639138304273,2.497419595718384
"GlobalKMeansAlgorithm(k=19, Distance_Metric=euclidean, N_Buckets=3k)_0",19,euclidean,3k,0,0.17624964090074838,0.30764641398434095,1.484463915179508,0.26589202682350466,1117.9665214551198,2.336913824081421
"GlobalKMeansAlgorithm(k=19, Distance_Metric=euclidean, N_Buckets=4k)_0",19,euclidean,4k,0,0.1276288015106096,0.28140243201258924,1.4982928951816,0.2539121571228695,1155.975953945029,2.443845510482788
"GlobalKMeansAlgorithm(k=19, Distance_Metric=manhattan, N_Buckets=2k)_0",19,manhattan,2k,0,0.21806452930957365,0.3581528177047387,1.6909294016544618,0.25905048712006123,923.5981649126943,2.0029306411743164
"GlobalKMeansAlgorithm(k=19, Distance_Metric=manhattan, N_Buckets=3k)_0",19,manhattan,3k,0,0.2266253229084338,0.3702084018877874,1.623064119787314,0.2529376873937798,877.8462305079239,2.3434553146362305
"GlobalKMeansAlgorithm(k=19, Distance_Metric=manhattan, N_Buckets=4k)_0",19,manhattan,4k,0,0.17783253235920699,0.3433037692127252,1.5715996373430174,0.2506370730446108,932.6190736608067,2.4080820083618164
"GlobalKMeansAlgorithm(k=19, Distance_Metric=clark, N_Buckets=2k)_0",19,clark,2k,0,0.10843946815166114,0.17486892334377538,2.128349724458443,0.15124557568597255,1315.2391830097692,5.27480149269104
"GlobalKMeansAlgorithm(k=19, Distance_Metric=clark, N_Buckets=3k)_0",19,clark,3k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,3.473254680633545
"GlobalKMeansAlgorithm(k=19, Distance_Metric=clark, N_Buckets=4k)_0",19,clark,4k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,5.57795262336731
"GlobalKMeansAlgorithm(k=20, Distance_Metric=euclidean, N_Buckets=2k)_0",20,euclidean,2k,0,0.12298521076007216,0.29716617502094994,1.5015033142352054,0.2560184309672298,1137.999501076756,2.452012300491333
"GlobalKMeansAlgorithm(k=20, Distance_Metric=euclidean, N_Buckets=3k)_0",20,euclidean,3k,0,0.12718890571239863,0.27521621788713035,1.5730909443084906,0.2553046855444641,1117.7308443088464,2.3987631797790527
"GlobalKMeansAlgorithm(k=20, Distance_Metric=euclidean, N_Buckets=4k)_0",20,euclidean,4k,0,0.11202588196097935,0.28309194340819127,1.55535922882526,0.24496892049004593,1120.6869377044543,2.9288737773895264
"GlobalKMeansAlgorithm(k=20, Distance_Metric=manhattan, N_Buckets=2k)_0",20,manhattan,2k,0,0.21768187056240162,0.35607811972540143,1.6237737221325979,0.2600547554077451,896.4772630346422,2.4421398639678955
"GlobalKMeansAlgorithm(k=20, Distance_Metric=manhattan, N_Buckets=3k)_0",20,manhattan,3k,0,0.23355443150832447,0.3765277523461441,1.60189337865641,0.2615958439457034,859.7531015545778,2.248946189880371
"GlobalKMeansAlgorithm(k=20, Distance_Metric=manhattan, N_Buckets=4k)_0",20,manhattan,4k,0,0.17844929685182032,0.34857124939212897,1.589565808495017,0.247958530736216,896.0078155269811,2.8177735805511475
"GlobalKMeansAlgorithm(k=20, Distance_Metric=clark, N_Buckets=2k)_0",20,clark,2k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,9.15803861618042
"GlobalKMeansAlgorithm(k=20, Distance_Metric=clark, N_Buckets=3k)_0",20,clark,3k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,5.864573001861572
"GlobalKMeansAlgorithm(k=20, Distance_Metric=clark, N_Buckets=4k)_0",20,clark,4k,0,0.19989340366246414,0.2556002542175799,2.61262747328181,0.13095046072398178,1010.963002060693,9.347562313079834
