Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=2k)_0",4,clark,2k,0,0.12366080891298147,0.15883411448923368,2.3099172463943303,0.1368581031602227,1240.7143384185952,0.17202258110046387
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=3k)_0",4,clark,3k,0,0.22853331093909635,0.26443508856557674,1.891009192029522,0.1992063506932905,1723.9159407389989,0.1591489315032959
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=4k)_0",4,clark,4k,0,0.2380457758821705,0.21480670562668008,2.3807217843707025,0.1832823430288833,1524.34630495664,0.16224217414855957
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=2k)_0",5,euclidean,2k,0,0.2368457981487286,0.28320680395785647,1.5122887040950552,0.2596977710038094,2137.6297509273118,0.13570284843444824
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=3k)_0",5,euclidean,3k,0,0.2368457981487286,0.28320680395785647,1.5122887040950552,0.2596977710038094,2137.6297509273118,0.13829588890075684
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=4k)_0",5,euclidean,4k,0,0.23797714347588994,0.285764593409277,1.508146592608235,0.2600348883124551,2137.519952960059,0.13461589813232422
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=2k)_0",5,manhattan,2k,0,0.2573641953203904,0.3343081054201387,1.6107749880453432,0.25074518142851804,1940.7946546172302,0.12780308723449707
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=3k)_0",5,manhattan,3k,0,0.2498983949977406,0.30760803404817183,1.652935171882455,0.2564382841252037,1967.0891211650958,0.12392258644104004
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=4k)_0",5,manhattan,4k,0,0.2524540674079944,0.3288686153452599,1.6100036745693118,0.2492329013629557,1923.6117696884698,0.13100838661193848
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=2k)_0",5,clark,2k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,0.2368147373199463
