Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_1",15,manhattan,1,0.1329256658671557,0.3222422267829592,1.8190886159430404,0.1903177303113218,1144.668573698973,0.1051015853881836
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_2",15,manhattan,2,0.11756666142413483,0.29135268804655895,1.9348423619278876,0.16849447585812768,1093.5760764218674,0.10614776611328125
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_3",15,manhattan,3,0.16681901450389658,0.3151809848541092,2.0096078777141613,0.2307156957561827,1082.466846353818,0.10651779174804688
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_4",15,manhattan,4,0.15212410437038862,0.34154948970492444,1.8902240677712183,0.1761179237514642,1065.6316573017134,0.10786199569702148
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_5",15,manhattan,5,0.14252604081535702,0.29935813309427683,2.046321073388632,0.1807199429504193,1044.6659096579594,0.11190009117126465
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_6",15,manhattan,6,0.14625767387443053,0.32185177237084506,1.7858537398084628,0.20517602377157246,1038.2208495075997,0.10792660713195801
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_7",15,manhattan,7,0.12568146720537626,0.3069279880641846,1.9256977977599958,0.18094008315132648,1124.999422708969,0.10982918739318848
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_8",15,manhattan,8,0.17648501345851186,0.3258538482402746,1.8501638439777126,0.21767206828830504,1081.9701282447338,0.10496187210083008
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_9",15,manhattan,9,0.22841003169743074,0.3379722797305159,1.6263990381973026,0.2552055128794217,1013.8931581023292,0.10830187797546387
"KMeansAlgorithm(k=15, Distance_Metric=clark)_0",15,clark,0,0.2475410983771418,0.3789036472715604,1.8632276146387843,0.22741626958247027,998.126045199743,0.24993181228637695
"KMeansAlgorithm(k=15, Distance_Metric=clark)_1",15,clark,1,0.2690080766989026,0.4024443965267056,2.2143984928614535,0.20809700818850543,915.4350504988275,0.2407245635986328
"KMeansAlgorithm(k=15, Distance_Metric=clark)_2",15,clark,2,0.21399150929906643,0.31728716038631843,2.472323972974126,0.17653746728933847,783.9117248125642,0.24613308906555176
"KMeansAlgorithm(k=15, Distance_Metric=clark)_3",15,clark,3,0.2767035750971217,0.4263851389037185,2.0040135722974872,0.21953666667711655,898.1870701463546,0.23337268829345703
"KMeansAlgorithm(k=15, Distance_Metric=clark)_4",15,clark,4,0.2649003305724626,0.38227270691557563,1.9993692522122246,0.21492340501672869,936.397466723701,0.14365720748901367
"KMeansAlgorithm(k=15, Distance_Metric=clark)_5",15,clark,5,0.2611522158551664,0.3789960682995693,1.88835589152591,0.21398077150233863,897.9093969005878,0.23714852333068848
"KMeansAlgorithm(k=15, Distance_Metric=clark)_6",15,clark,6,0.2608722493149035,0.3110642121605428,2.427399885886376,0.14804188662504994,891.0044670014448,0.2352132797241211
"KMeansAlgorithm(k=15, Distance_Metric=clark)_7",15,clark,7,0.25977108586104636,0.38836235511981926,1.8756015435512303,0.21563758114278053,872.4822467174423,0.24753808975219727
"KMeansAlgorithm(k=15, Distance_Metric=clark)_8",15,clark,8,0.20794670427002776,0.28182026787050124,2.515163188759439,0.1927555279740476,1015.8801738169304,0.24921941757202148
"KMeansAlgorithm(k=15, Distance_Metric=clark)_9",15,clark,9,0.21467168274578216,0.32590986464972677,2.0191094628124393,0.16613363535912107,667.9773801077047,0.24830937385559082
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_0",16,euclidean,0,0.12476901253220246,0.2977000301047874,1.5883976287216137,0.24184183572513976,1237.4538089657717,0.11962676048278809
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_1",16,euclidean,1,0.10177019691991859,0.25245701037184953,1.604171498840163,0.21859304512585562,1243.8986428173762,0.11938095092773438
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_2",16,euclidean,2,0.08452959840775096,0.22565681210162283,1.7778538302697826,0.17393037478695628,1143.4703542895504,0.12252926826477051
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_3",16,euclidean,3,0.09139856458988328,0.23765151602995954,1.7437009655252094,0.1952827547419705,1197.680774536866,0.12001228332519531
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_4",16,euclidean,4,0.1099198716707427,0.2642924899779771,1.5727160532642737,0.23617477922609997,1205.0943985619701,0.12048697471618652
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_5",16,euclidean,5,0.12063367371780732,0.2397091297329419,1.7257912095186203,0.19372422479326246,1006.8174778451892,0.11954379081726074
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_6",16,euclidean,6,0.09075146479774603,0.24557515335023278,1.5743929831089156,0.21065427801467196,1211.1499557474049,0.12275266647338867
