Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=4, fuzziness=4, rho=0.9)_7",4,4.0,0.9,7,0.1469626808851255,0.16524289401928297,1.8423879318257035,0.22590158170627675,2206.907251297085,4,1.4002571105957031
"FuzzyCMeans(n_clusters=4, fuzziness=4, rho=0.9)_8",4,4.0,0.9,8,0.25265147497568347,0.3009581731565743,1.6449955299202457,0.2652175481373964,2347.847373404065,4,1.044062614440918
"FuzzyCMeans(n_clusters=4, fuzziness=4, rho=0.9)_9",4,4.0,0.9,9,0.2259461053910637,0.22789121926151604,1.6103029719879813,0.2337611041583219,2162.597255914913,4,2.289966344833374
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_0",4,5.0,0.5,0,0.15564473937395834,0.17739409614709253,1.6480476040360066,0.22086471140332883,1901.0026301893645,4,0.9416096210479736
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_1",4,5.0,0.5,1,0.22084257489919826,0.23272574320762549,1.5841994559044978,0.23373527884741724,2153.685757626479,4,1.7192966938018799
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_2",4,5.0,0.5,2,0.25247349802525576,0.3007930330403296,1.6447835632623948,0.2652308470156515,2347.75116748311,4,0.8170075416564941
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_3",4,5.0,0.5,3,0.22084257489919826,0.23272574320762546,1.5841994559044978,0.23373527884741724,2153.685757626479,4,1.5752429962158203
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_4",4,5.0,0.5,4,0.25247349802525576,0.3007930330403296,1.6447835632623953,0.2652308470156515,2347.7511674831103,4,0.550896406173706
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_5",4,5.0,0.5,5,0.1469181956572355,0.16527802633705088,1.8424830544804398,0.225884919151761,2206.890928267296,4,0.594743013381958
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_6",4,5.0,0.5,6,0.25247349802525576,0.3007930330403296,1.6447835632623953,0.2652308470156515,2347.7511674831103,4,1.5480897426605225
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_7",4,5.0,0.5,7,0.25247349802525576,0.30079303304032967,1.644783563262395,0.2652308470156515,2347.75116748311,4,0.8892037868499756
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_8",4,5.0,0.5,8,0.25247349802525576,0.3007930330403296,1.6447835632623953,0.2652308470156515,2347.7511674831103,4,1.6007654666900635
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.5)_9",4,5.0,0.5,9,0.25247349802525576,0.30079303304032967,1.6447835632623948,0.2652308470156515,2347.7511674831103,4,1.1721315383911133
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_0",4,5.0,0.7,0,0.25247349802525576,0.3007930330403296,1.644783563262395,0.2652308470156515,2347.75116748311,4,1.498626947402954
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_1",4,5.0,0.7,1,0.25230977053410814,0.3005205558809861,1.6446834262818708,0.2652239767105842,2347.6630520354774,4,2.724057912826538
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_2",4,5.0,0.7,2,0.22084218620737545,0.23306163883162093,1.583692896156674,0.23372090824539954,2153.3353491587363,4,1.900482416152954
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_3",4,5.0,0.7,3,0.25230977053410814,0.30052055588098603,1.6446834262818708,0.2652239767105842,2347.6630520354774,4,0.9162447452545166
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_4",4,5.0,0.7,4,0.25247349802525576,0.3007930330403296,1.6447835632623953,0.2652308470156515,2347.7511674831103,4,1.1177258491516113
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_5",4,5.0,0.7,5,0.25247349802525576,0.3007930330403296,1.6447835632623948,0.2652308470156515,2347.7511674831103,4,1.1951696872711182
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_6",4,5.0,0.7,6,0.25247349802525576,0.3007930330403296,1.644783563262395,0.2652308470156515,2347.75116748311,4,2.3131449222564697
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_7",4,5.0,0.7,7,0.25247349802525576,0.3007930330403296,1.6447835632623953,0.2652308470156515,2347.7511674831103,4,1.1990327835083008
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_8",4,5.0,0.7,8,0.25230977053410814,0.3005205558809861,1.6446834262818708,0.2652239767105842,2347.6630520354774,4,1.164093255996704
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.7)_9",4,5.0,0.7,9,0.22084218620737545,0.23306163883162093,1.583692896156674,0.23372090824539954,2153.3353491587363,4,1.6623082160949707
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_0",4,5.0,0.9,0,0.2519826787601129,0.29997791450363764,1.6444977942811052,0.26521513583132567,2347.484525300559,4,1.1805391311645508
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_1",4,5.0,0.9,1,0.2519826787601129,0.29997791450363764,1.6444977942811052,0.26521513583132567,2347.4845253005597,4,0.962852954864502
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_2",4,5.0,0.9,2,0.1465206362865014,0.16508486213656368,1.8432469996678391,0.2258672922859931,2206.545955480111,4,0.6753513813018799
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_3",4,5.0,0.9,3,0.2519826787601129,0.29997791450363764,1.6444977942811052,0.26521513583132567,2347.484525300559,4,0.812969446182251
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_4",4,5.0,0.9,4,0.21727664659080131,0.23016914271367211,1.5885701213173928,0.23345389126203478,2151.745602153912,4,1.0118858814239502
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_5",4,5.0,0.9,5,0.15415647168853494,0.18136853698647667,1.5892256432800347,0.21668447014708894,1898.2897456620165,4,0.6845834255218506
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_6",4,5.0,0.9,6,0.21724830571083675,0.2297005791433195,1.588933357821603,0.23345688431714226,2151.9569520780497,4,1.4516854286193848
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_7",4,5.0,0.9,7,0.21727664659080131,0.2301691427136721,1.5885701213173928,0.23345389126203478,2151.745602153912,4,1.162010669708252
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_8",4,5.0,0.9,8,0.2519826787601129,0.29997791450363764,1.644497794281105,0.26521513583132567,2347.484525300559,4,0.7771546840667725
"FuzzyCMeans(n_clusters=4, fuzziness=5, rho=0.9)_9",4,5.0,0.9,9,0.2519826787601129,0.29997791450363764,1.6444977942811052,0.26521513583132567,2347.484525300559,4,0.8484454154968262
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_0",4,6.0,0.5,0,0.25165607126330464,0.299438322835282,1.6443170168477979,0.2652099437062313,2347.305197358716,4,1.0319843292236328
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_1",4,6.0,0.5,1,0.25165607126330464,0.299438322835282,1.6443170168477979,0.2652099437062313,2347.305197358716,4,0.7766494750976562
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_2",4,6.0,0.5,2,0.25165607126330464,0.29943832283528193,1.6443170168477979,0.2652099437062313,2347.305197358716,4,1.1480448246002197
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_3",4,6.0,0.5,3,0.25165607126330464,0.299438322835282,1.6443170168477979,0.2652099437062313,2347.305197358716,4,1.1312122344970703
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_4",4,6.0,0.5,4,0.25165607126330464,0.29943832283528193,1.6443170168477976,0.2652099437062313,2347.305197358716,4,0.9580128192901611
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_5",4,6.0,0.5,5,0.25165607126330464,0.299438322835282,1.6443170168477979,0.2652099437062313,2347.305197358716,4,0.7210423946380615
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_6",4,6.0,0.5,6,0.25165607126330464,0.29943832283528193,1.6443170168477979,0.2652099437062313,2347.305197358716,4,1.1794705390930176
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_7",4,6.0,0.5,7,0.17042111105690705,0.16498160109968135,1.8599842769698756,0.2416739621216851,2150.7601431611497,4,0.5417180061340332
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_8",4,6.0,0.5,8,0.14651307137542458,0.1650783166080776,1.8431781389008755,0.22585218565737997,2206.4839238735303,4,1.1220207214355469
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.5)_9",4,6.0,0.5,9,0.21658385844000858,0.23074582466947752,1.5839993876392213,0.2337604680852637,2151.292716681765,4,1.4451828002929688
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_0",4,6.0,0.7,0,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,1.3820972442626953
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_1",4,6.0,0.7,1,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,2.1737842559814453
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_2",4,6.0,0.7,2,0.25130167811013193,0.2986895496261788,1.6442398962621578,0.2651985895679957,2346.705757053786,4,0.525841474533081
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_3",4,6.0,0.7,3,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,1.0422472953796387
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_4",4,6.0,0.7,4,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,0.6747827529907227
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_5",4,6.0,0.7,5,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,0.8205573558807373
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_6",4,6.0,0.7,6,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,2.083498954772949
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_7",4,6.0,0.7,7,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,2.1447031497955322
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_8",4,6.0,0.7,8,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.705757053786,4,1.5686314105987549
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.7)_9",4,6.0,0.7,9,0.25130167811013193,0.2986895496261788,1.6442398962621578,0.2651985895679957,2346.705757053786,4,2.0912628173828125
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_0",4,6.0,0.9,0,0.21675259720568976,0.230581500878237,1.5871754344983775,0.2335581780512887,2151.2364284281,4,0.8266327381134033
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_1",4,6.0,0.9,1,0.25437946240754533,0.2992847316904737,1.6442267952359464,0.265472005218354,2341.4798383794423,4,1.7272522449493408
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_2",4,6.0,0.9,2,0.2545380467211125,0.2995498123241036,1.6444463464313275,0.26547187734528843,2341.5343799791685,4,0.47956275939941406
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_3",4,6.0,0.9,3,0.25125668702497855,0.2986711798950522,1.6442835775936246,0.26520278795001695,2346.6510981522647,4,1.114112138748169
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_4",4,6.0,0.9,4,0.15672032602594407,0.17442854307648367,1.6584503296252442,0.21995164170136935,1896.7596458641,4,1.4224112033843994
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_5",4,6.0,0.9,5,0.25437946240754533,0.29928473169047365,1.6442267952359464,0.265472005218354,2341.4798383794423,4,1.2631688117980957
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_6",4,6.0,0.9,6,0.25437946240754533,0.29928473169047365,1.6442267952359464,0.265472005218354,2341.4798383794423,4,1.2388193607330322
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_7",4,6.0,0.9,7,0.21675259720568976,0.230581500878237,1.5871754344983775,0.2335581780512887,2151.2364284281,4,1.0036423206329346
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_8",4,6.0,0.9,8,0.2141442201514528,0.22982748239489403,1.5967952483639645,0.233397383842462,2145.639207273404,4,0.662682294845581
"FuzzyCMeans(n_clusters=4, fuzziness=6, rho=0.9)_9",4,6.0,0.9,9,0.25437946240754533,0.29928473169047365,1.6442267952359464,0.265472005218354,2341.4798383794423,4,1.4443650245666504
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_0",4,7.0,0.5,0,0.1462305460690758,0.16505302404128,1.8439966185074605,0.22574782959337514,2206.079318870808,4,0.6086804866790771
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_1",4,7.0,0.5,1,0.25429268602464816,0.29817320648039025,1.6429654271684377,0.2655693475171616,2340.0272526237295,4,1.0499546527862549
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_2",4,7.0,0.5,2,0.25429268602464816,0.2981732064803902,1.6429654271684375,0.2655693475171616,2340.027252623729,4,0.9684498310089111
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_3",4,7.0,0.5,3,0.25429268602464816,0.2981732064803902,1.6429654271684375,0.2655693475171616,2340.027252623729,4,1.066202163696289
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_4",4,7.0,0.5,4,0.25125668702497855,0.29867117989505226,1.6442835775936246,0.26520278795001695,2346.6510981522642,4,0.6907706260681152
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_5",4,7.0,0.5,5,0.25429268602464816,0.29817320648039025,1.6429654271684377,0.2655693475171616,2340.0272526237295,4,1.1286160945892334
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_6",4,7.0,0.5,6,0.25406265698226965,0.2987567683909429,1.643921572179035,0.265454632943744,2341.313879769027,4,0.7523355484008789
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_7",4,7.0,0.5,7,0.14637923499369057,0.16531123803766554,1.8439469414151153,0.22568177213205368,2205.814732750245,4,1.3802545070648193
