Statistical Analysis Report for Parameter: k
==================================================

FRIEDMAN TEST RESULTS
--------------------
Metric               Statistic       P-Value         Significant    
-----------------------------------------------------------------
E                    364.0063        0.0000          True           
ARI                  236.3389        0.0000          True           
F1 Score             309.7591        0.0000          True           
DBI                  247.0568        0.0000          True           
silhouette_score     122.7284        0.0000          True           
calinski_harabasz_score 391.8842        0.0000          True           
Time                 351.1037        0.0000          True           


NEMENYI POST-HOC TEST RESULTS
==============================

Metric: E
--------------------
Group 1              Group 2              P-Value         Significant    
----------------------------------------------------------------------
3                    8                    0.3581          False          
3                    9                    0.0092          False          
3                    10                   0.0208          False          
3                    11                   0.0189          False          
3                    12                   0.0618          False          
3                    13                   0.0048          False          
3                    14                   0.0056          False          
3                    15                   0.0208          False          
3                    16                   0.0005          True           
3                    17                   0.0012          False          
3                    18                   0.0000          True           
3                    19                   0.0000          True           
3                    20                   0.0000          True           
4                    5                    1.0000          False          
4                    6                    0.9948          False          
4                    7                    0.9356          False          
4                    8                    0.5456          False          
4                    9                    0.0274          False          
4                    10                   0.0554          False          
4                    11                   0.0510          False          
4                    12                   0.1382          False          
4                    13                   0.0155          False          
4                    14                   0.0177          False          
4                    15                   0.0554          False          
4                    16                   0.0022          False          
4                    17                   0.0044          False          
4                    18                   0.0000          True           
4                    19                   0.0000          True           
4                    20                   0.0000          True           
5                    6                    1.0000          False          
5                    7                    0.9975          False          
5                    8                    0.8959          False          
5                    9                    0.1846          False          
5                    10                   0.2887          False          
5                    11                   0.2743          False          
5                    12                   0.4901          False          
5                    13                   0.1264          False          
5                    14                   0.1379          False          
5                    15                   0.2887          False          
5                    16                   0.0314          False          
5                    17                   0.0521          False          
5                    18                   0.0000          True           
5                    19                   0.0007          True           
5                    20                   0.0000          True           
6                    7                    1.0000          False          
6                    8                    1.0000          False          
6                    9                    0.9487          False          
6                    10                   0.9791          False          
6                    11                   0.9764          False          
6                    12                   0.9964          False          
6                    13                   0.9108          False          
6                    14                   0.9204          False          
6                    15                   0.9791          False          
6                    16                   0.7008          False          
6                    17                   0.7862          False          
6                    18                   0.0117          False          
6                    19                   0.1664          False          
6                    20                   0.0040          False          
7                    8                    1.0000          False          
7                    9                    0.9964          False          
7                    10                   0.9991          False          
7                    11                   0.9990          False          
7                    12                   0.9999          False          
7                    13                   0.9911          False          
7                    14                   0.9926          False          
7                    15                   0.9991          False          
7                    16                   0.9311          False          
7                    17                   0.9617          False          
7                    18                   0.0745          False          
7                    19                   0.4615          False          
7                    20                   0.0326          False          
