Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=2k)_0",3,clark,2k,0,0.19352734206552383,0.3584996989384372,1.8701069999589528,0.19473387179930823,2627.14461174952,0.19741129875183105
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=3k)_0",3,clark,3k,0,0.1916017772007286,0.344202972822757,1.5907369284476678,0.19690854706578495,2701.0233278544065,0.17636752128601074
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=4k)_0",3,clark,4k,0,0.19352734206552383,0.3584996989384372,1.8701069999589528,0.19473387179930823,2627.14461174952,0.17119669914245605
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=2k)_0",4,euclidean,2k,0,0.3033726451346214,0.48803285046779027,1.436427236419485,0.26681078933459224,3340.381772888995,0.1998288631439209
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=3k)_0",4,euclidean,3k,0,0.313903874080054,0.49480105116822554,1.4471543840126848,0.2690403662705867,3357.988527000268,0.18828034400939941
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=4k)_0",4,euclidean,4k,0,0.3138590148072582,0.4947249254397697,1.44725919098051,0.2690426618631896,3357.9929491126277,0.1832420825958252
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=2k)_0",4,manhattan,2k,0,0.31559801630162765,0.4978347454425643,1.4654884622602469,0.2626475861453479,3250.1860797425697,0.1965949535369873
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=3k)_0",4,manhattan,3k,0,0.3161366822076564,0.49827275966958806,1.4655999993528426,0.26290648547173623,3252.399630542354,0.16592741012573242
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=4k)_0",4,manhattan,4k,0,0.31572410447293175,0.4977933785818725,1.4650529948804034,0.26282086342045985,3252.251283874785,0.1921226978302002
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=2k)_0",4,clark,2k,0,0.278975840841022,0.44744146470057417,1.9563963869686345,0.17163743227784684,2237.3799637332136,0.32039642333984375
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=3k)_0",4,clark,3k,0,0.25907950544824293,0.45384334399863296,1.4362090246876371,0.21107879166477675,2664.1106027215574,0.28822994232177734
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=4k)_0",4,clark,4k,0,0.270309071084307,0.46095674885694304,2.036973679132153,0.12583584266110917,1671.6603563937765,0.29328489303588867
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=2k)_0",5,euclidean,2k,0,0.3725461449777469,0.5567391022049015,1.2592322989097005,0.2802163654783069,3147.3184783604115,0.22149062156677246
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=3k)_0",5,euclidean,3k,0,0.3561498623267479,0.5467229506688441,1.3564199995937185,0.2913959793806353,3216.3814529999827,0.29433631896972656
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=4k)_0",5,euclidean,4k,0,0.35607950388017784,0.546741665933263,1.359180251565857,0.2912506744825316,3216.557608760694,0.2410719394683838
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=2k)_0",5,manhattan,2k,0,0.3444178271213914,0.539818508217044,1.3504514680764605,0.2849442738987505,3090.0267283787493,0.2446277141571045
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=3k)_0",5,manhattan,3k,0,0.3432636595347823,0.5389922985003409,1.348142561876753,0.28491128404146177,3086.379175316568,0.25513219833374023
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=4k)_0",5,manhattan,4k,0,0.3435940892911884,0.5393033356646534,1.348450860777939,0.28494909031373195,3086.2554236562446,0.2894773483276367
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=2k)_0",5,clark,2k,0,0.29310719810656877,0.4897695548782761,1.995077331963477,0.1178069973097728,1509.3689127107416,0.39685726165771484
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=3k)_0",5,clark,3k,0,0.33146321587533756,0.5031703295668665,1.7965032784650918,0.18100255710303995,2281.688739208433,0.40410542488098145
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=4k)_0",5,clark,4k,0,0.3320806126632014,0.527217931388135,1.3919109031061212,0.24053830323626296,2611.80052533896,0.42168188095092773
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=2k)_0",6,euclidean,2k,0,0.41874071238248106,0.6011361863424731,1.2421010447040304,0.3094433026761933,3221.589294949618,0.3295590877532959
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=3k)_0",6,euclidean,3k,0,0.4075748842949423,0.5809898085495001,1.2863629782859303,0.3063343586906522,3191.492253834288,0.33820343017578125
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=4k)_0",6,euclidean,4k,0,0.37477149008015487,0.5681863880070414,1.2985419975115662,0.2896742774385108,3000.197100145042,0.3549764156341553
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=2k)_0",6,manhattan,2k,0,0.38955407953685395,0.5707415361151145,1.3559047921908232,0.2925819615805205,3057.893522080816,0.36487698554992676
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=3k)_0",6,manhattan,3k,0,0.3819144710245791,0.5653679919533557,1.3707784782863766,0.28824138059258547,3025.2099804622926,0.3672957420349121
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=4k)_0",6,manhattan,4k,0,0.3946121506765683,0.5742155052395751,1.3105670831063245,0.29804004971317366,3086.673554670429,0.33315062522888184
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=2k)_0",6,clark,2k,0,0.37963884685892724,0.5590318327509709,1.5296460392736808,0.21270206692624025,2484.185856008347,0.5652518272399902
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=3k)_0",6,clark,3k,0,0.3732171907431309,0.5396467370071537,1.9027270559342926,0.20286941109033296,2360.9992749684043,0.5815305709838867
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=4k)_0",6,clark,4k,0,0.3789844827625037,0.5528386006169467,1.5676198265380277,0.23274699271245597,2483.6545962252385,0.5870697498321533
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=2k)_0",7,euclidean,2k,0,0.4352846021557746,0.6220037417857838,1.2353881020604973,0.31324544344072947,2958.7056800564574,0.39076662063598633
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=3k)_0",7,euclidean,3k,0,0.47265227777648333,0.6278792448695443,1.2336134784969246,0.3141018656278336,3158.3996716847637,0.41103196144104004
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=4k)_0",7,euclidean,4k,0,0.47271977386096026,0.6278989212574833,1.2329123711022372,0.3141841508226936,3158.394198741287,0.3972439765930176
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=2k)_0",7,manhattan,2k,0,0.45709354195599106,0.6220760238612415,1.2405171193660045,0.3080991448405624,3057.818413232141,0.41857218742370605
