Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,eigen_tol,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_2",10,150,cluster_qr,lobpcg,0.001,2,0.609691577068765,0.7639582765613011,1.3185283175637192,0.2889629731843238,2608.441600456451,10,1.4619204998016357
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_3",10,150,cluster_qr,lobpcg,0.001,3,0.6097360312387163,0.763950946266801,1.3183001944616974,0.2890597620137124,2608.8767635366175,10,1.4183566570281982
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_4",10,150,cluster_qr,lobpcg,0.001,4,0.609691577068765,0.7639582765613011,1.3185283175637192,0.2889629731843238,2608.441600456451,10,1.3297584056854248
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_5",10,150,cluster_qr,lobpcg,0.001,5,0.6096363011392795,0.7639796149372647,1.3182754472888707,0.28903646297573393,2608.763994604834,10,1.4229347705841064
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_6",10,150,cluster_qr,lobpcg,0.001,6,0.6097272309000626,0.7642448975435239,1.318165719314259,0.2890205146200626,2608.7698079012034,10,1.4380974769592285
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_7",10,150,cluster_qr,lobpcg,0.001,7,0.609623727448708,0.7639981089411095,1.3184194768819453,0.28896210021590507,2608.252693985071,10,1.3290379047393799
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_8",10,150,cluster_qr,lobpcg,0.001,8,0.6097360312387163,0.763950946266801,1.3183001944616974,0.2890597620137124,2608.8767635366175,10,1.4304137229919434
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_9",10,150,cluster_qr,lobpcg,0.001,9,0.6097141998942537,0.76382189400973,1.3182374363456366,0.2891061516855566,2609.0935739726833,10,1.339928388595581
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_0",10,150,cluster_qr,amg,0.001,0,0.6095575854856845,0.7641167995157552,1.3181826290600054,0.28897860441036977,2608.466545941605,10,2.525797128677368
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_1",10,150,cluster_qr,amg,0.001,1,0.609691577068765,0.7639582765613011,1.3185283175637192,0.2889629731843238,2608.441600456451,10,2.7601609230041504
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_2",10,150,cluster_qr,amg,0.001,2,0.6095903616263595,0.7640311010785001,1.318294149314701,0.2889733375125485,2608.6250599313144,10,2.4304141998291016
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_3",10,150,cluster_qr,amg,0.001,3,0.609691577068765,0.7639582765613011,1.3185283175637192,0.2889629731843238,2608.441600456451,10,2.5676774978637695
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_4",10,150,cluster_qr,amg,0.001,4,0.6096370181235654,0.763914943554041,1.31835383399902,0.28901489970087113,2608.5003795639127,10,2.7576019763946533
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_5",10,150,cluster_qr,amg,0.001,5,0.6096587939244567,0.7640439725206928,1.3184167483991096,0.2889682812660196,2608.28310165648,10,2.6477344036102295
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_6",10,150,cluster_qr,amg,0.001,6,0.6097141998942537,0.76382189400973,1.3182374363456366,0.2891061516855566,2609.0935739726833,10,2.481675624847412
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_7",10,150,cluster_qr,amg,0.001,7,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,2.74786376953125
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_8",10,150,cluster_qr,amg,0.001,8,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,2.6765904426574707
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=amg, eigen_tol=0.001)_9",10,150,cluster_qr,amg,0.001,9,0.6097360312387163,0.763950946266801,1.3183001944616974,0.2890597620137124,2608.8767635366175,10,2.443603992462158
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_0",10,150,cluster_qr,arpack,0.001,0,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,11.628788232803345
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_1",10,150,cluster_qr,arpack,0.001,1,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,12.001603364944458
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_2",10,150,cluster_qr,arpack,0.001,2,0.6096698014640495,0.7638292508660591,1.318465369494825,0.2890096384961377,2608.658896355228,10,11.510297775268555
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_3",10,150,cluster_qr,arpack,0.001,3,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,11.382155418395996
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_4",10,150,cluster_qr,arpack,0.001,4,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,11.579385757446289
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_5",10,150,cluster_qr,arpack,0.001,5,0.6097360312387163,0.763950946266801,1.3183001944616974,0.2890597620137124,2608.8767635366175,10,11.81508731842041
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_6",10,150,cluster_qr,arpack,0.001,6,0.6096587939244567,0.7640439725206928,1.3184167483991096,0.2889682812660196,2608.28310165648,10,11.482387781143188
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_7",10,150,cluster_qr,arpack,0.001,7,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,11.84834599494934
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_8",10,150,cluster_qr,arpack,0.001,8,0.6097360312387163,0.763950946266801,1.3183001944616974,0.2890597620137124,2608.8767635366175,10,11.638848781585693
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=arpack, eigen_tol=0.001)_9",10,150,cluster_qr,arpack,0.001,9,0.609768821364758,0.76386525386553,1.3184118598704235,0.2890544739512372,2609.0353114962118,10,11.605375528335571
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_0",10,200,kmeans,lobpcg,0.001,0,0.6008592722214596,0.7608121332660966,1.307817387647483,0.2884295579080804,2609.492015499657,10,1.506422758102417
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_1",10,200,kmeans,lobpcg,0.001,1,0.6008592722214596,0.7608121332660968,1.307817387647483,0.2884295579080804,2609.4920154996566,10,1.4237098693847656
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_2",10,200,kmeans,lobpcg,0.001,2,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.4920154996576,10,1.4345757961273193
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_3",10,200,kmeans,lobpcg,0.001,3,0.6008592722214596,0.7608121332660964,1.307817387647483,0.2884295579080804,2609.492015499657,10,1.4809768199920654
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_4",10,200,kmeans,lobpcg,0.001,4,0.6008592722214596,0.7608121332660965,1.3078173876474832,0.2884295579080804,2609.4920154996576,10,1.542020320892334
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_5",10,200,kmeans,lobpcg,0.001,5,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.4920154996576,10,1.5308938026428223
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_6",10,200,kmeans,lobpcg,0.001,6,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.492015499657,10,1.4638235569000244
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_7",10,200,kmeans,lobpcg,0.001,7,0.6008592722214596,0.7608121332660964,1.3078173876474828,0.2884295579080804,2609.4920154996576,10,1.446479082107544
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_8",10,200,kmeans,lobpcg,0.001,8,0.6008592722214596,0.7608121332660964,1.307817387647483,0.2884295579080804,2609.492015499657,10,1.449333906173706
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_9",10,200,kmeans,lobpcg,0.001,9,0.6008592722214596,0.7608121332660966,1.3078173876474832,0.2884295579080804,2609.4920154996576,10,1.473924160003662
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_0",10,200,kmeans,amg,0.001,0,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.4920154996576,10,3.1460137367248535
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_1",10,200,kmeans,amg,0.001,1,0.6008592722214596,0.7608121332660964,1.307817387647483,0.2884295579080804,2609.492015499657,10,3.2209110260009766
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_2",10,200,kmeans,amg,0.001,2,0.6008592722214596,0.7608121332660965,1.3078173876474828,0.2884295579080804,2609.492015499656,10,3.0156240463256836
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_3",10,200,kmeans,amg,0.001,3,0.6008592722214596,0.7608121332660965,1.3078173876474832,0.2884295579080804,2609.492015499657,10,3.2962584495544434
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_4",10,200,kmeans,amg,0.001,4,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.492015499657,10,3.195103883743286
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_5",10,200,kmeans,amg,0.001,5,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.492015499657,10,3.2396810054779053
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_6",10,200,kmeans,amg,0.001,6,0.5452075582029211,0.7274465445005541,1.6019330731789605,0.2615617740351803,2116.177082005125,10,2.9255008697509766
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_7",10,200,kmeans,amg,0.001,7,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.4920154996576,10,3.081986665725708
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_8",10,200,kmeans,amg,0.001,8,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.492015499657,10,3.1548945903778076
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_9",10,200,kmeans,amg,0.001,9,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.4920154996576,10,3.138136863708496
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_0",10,200,kmeans,arpack,0.001,0,0.682322360192474,0.7750780630135693,1.4997675000851025,0.27528488098019344,2532.810842018062,10,14.138325691223145
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_1",10,200,kmeans,arpack,0.001,1,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.492015499657,10,14.158744096755981
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_2",10,200,kmeans,arpack,0.001,2,0.6008592722214596,0.7608121332660965,1.3078173876474832,0.2884295579080804,2609.4920154996576,10,14.080399751663208
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_3",10,200,kmeans,arpack,0.001,3,0.6008592722214596,0.7608121332660966,1.307817387647483,0.2884295579080804,2609.4920154996566,10,14.18858027458191
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_4",10,200,kmeans,arpack,0.001,4,0.6008592722214596,0.7608121332660966,1.3078173876474832,0.2884295579080804,2609.492015499657,10,14.37343978881836
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_5",10,200,kmeans,arpack,0.001,5,0.6008592722214596,0.7608121332660965,1.307817387647483,0.2884295579080804,2609.4920154996576,10,13.976354122161865
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_6",10,200,kmeans,arpack,0.001,6,0.6008592722214596,0.7608121332660964,1.307817387647483,0.2884295579080804,2609.4920154996576,10,14.030158758163452
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_7",10,200,kmeans,arpack,0.001,7,0.6008592722214596,0.7608121332660966,1.307817387647483,0.2884295579080804,2609.4920154996576,10,13.997237205505371
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=200, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_8",10,200,kmeans,arpack,0.001,8,0.6008592722214596,0.7608121332660968,1.3078173876474828,0.2884295579080804,2609.4920154996576,10,14.212126016616821
