Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_0",18,euclidean,0,0.4912839717743097,0.6741030853190842,1.4329608571426584,0.24298974429584067,2053.4861405623365,0.12927794456481934
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_1",18,euclidean,1,0.48816054552297455,0.6703022412338718,1.447683047129738,0.24553110020882005,2061.9333758531848,0.1315906047821045
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_2",18,euclidean,2,0.5822321989537687,0.7162441194563132,1.4143010038613553,0.2632092147846115,2209.2976896781174,0.12509608268737793
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_3",18,euclidean,3,0.5357942479129254,0.6947405458225927,1.36950282234786,0.272226739486164,2051.527314645432,0.13824725151062012
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_4",18,euclidean,4,0.5807988968330917,0.7158528996252398,1.3907193996045184,0.2667042448184992,2198.4890079630736,0.129960298538208
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_5",18,euclidean,5,0.5531307202991657,0.7199597702440648,1.3094885497690663,0.2735146269779045,2268.513542903393,0.1362760066986084
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_6",18,euclidean,6,0.5779332581081301,0.7124423322405216,1.452753292768943,0.2686391246675118,2134.2116994032062,0.12933945655822754
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_7",18,euclidean,7,0.5572825285041437,0.7203410061363277,1.37884391103993,0.27400374894605345,2246.8297635254926,0.12753820419311523
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_8",18,euclidean,8,0.5505682744334971,0.7129315933746655,1.3080795238273357,0.2758962759745336,2265.4916832269582,0.12685036659240723
"KMeansAlgorithm(k=18, Distance_Metric=euclidean)_9",18,euclidean,9,0.6146716195460957,0.731617695754109,1.3357509832042933,0.2841364995401361,2170.3458570180674,0.1256411075592041
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_0",18,manhattan,0,0.48641839845095597,0.68169609388083,1.4725075989933865,0.2445477777199651,1964.296389520338,0.12611007690429688
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_1",18,manhattan,1,0.5097224751581245,0.677012005183212,1.48231568163496,0.23035266080855354,2024.3507686941407,0.12249875068664551
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_2",18,manhattan,2,0.5920531428090811,0.7326326905456395,1.3707550649574765,0.27770439879151865,2183.23811262415,0.12505674362182617
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_3",18,manhattan,3,0.5555438248745572,0.7101417097749192,1.3665280683738341,0.27294258336014576,2162.5233387350404,0.12434983253479004
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_4",18,manhattan,4,0.4876407516945118,0.6650771242265625,1.5302044131961534,0.21926761125896116,1897.4577995772943,0.13045787811279297
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_5",18,manhattan,5,0.5568073236384288,0.6957145605851256,1.3811898910602518,0.24475647134341172,2085.5563068274705,0.12525701522827148
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_6",18,manhattan,6,0.5214353293860988,0.6826636123652012,1.5215405787681842,0.2293308457886216,2018.3777567827642,0.1227421760559082
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_7",18,manhattan,7,0.4979546135176824,0.6813434165431919,1.542497594861136,0.22648284635859794,1868.809582069369,0.12483382225036621
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_8",18,manhattan,8,0.5776493845038486,0.7166764107926834,1.3837601425361798,0.27105850221098504,2197.8886789649746,0.14281821250915527
"KMeansAlgorithm(k=18, Distance_Metric=manhattan)_9",18,manhattan,9,0.5846344986260399,0.7243782989695975,1.4034592955227712,0.27584806349154184,2141.29869155975,0.12272071838378906
"KMeansAlgorithm(k=18, Distance_Metric=clark)_0",18,clark,0,0.31085069993397946,0.5599322807424832,1.9318412924239787,0.044126245301370506,1010.677248971816,0.265763521194458
"KMeansAlgorithm(k=18, Distance_Metric=clark)_1",18,clark,1,0.3871400892587373,0.5985469795870395,2.106332855497031,0.1177537075104423,1336.1503629532322,0.2794833183288574
"KMeansAlgorithm(k=18, Distance_Metric=clark)_2",18,clark,2,0.3803491523176873,0.5996469049709218,2.1032242091956324,0.10528587154362172,1430.0869710967143,0.25611257553100586
"KMeansAlgorithm(k=18, Distance_Metric=clark)_3",18,clark,3,0.40943351592946375,0.5909116700180629,2.1667087848574473,0.12152867154524122,1352.878321107647,0.2572169303894043
"KMeansAlgorithm(k=18, Distance_Metric=clark)_4",18,clark,4,0.35204609169304296,0.5676196975404127,2.7095650885698195,0.08252743752792029,1273.7507826067792,0.26453518867492676
"KMeansAlgorithm(k=18, Distance_Metric=clark)_5",18,clark,5,0.41837320884449813,0.6137075435367009,2.545226193072987,0.12596882918518482,1475.2539113003895,0.2687256336212158
"KMeansAlgorithm(k=18, Distance_Metric=clark)_6",18,clark,6,0.37224458299753194,0.5830102956425126,2.673029757135493,0.1048875170344279,1305.463133225065,0.2671952247619629
"KMeansAlgorithm(k=18, Distance_Metric=clark)_7",18,clark,7,0.3186090128650762,0.5702838962235549,2.3190789887461567,0.09765152837628473,1214.8982327749254,0.27006006240844727
"KMeansAlgorithm(k=18, Distance_Metric=clark)_8",18,clark,8,0.3886124220520049,0.5810480870471861,2.014194134540044,0.09549233190975366,1254.7357028551596,0.25866103172302246
"KMeansAlgorithm(k=18, Distance_Metric=clark)_9",18,clark,9,0.32832863657683337,0.554526982711647,2.096100525797109,0.08373893574609136,1181.1794309522795,0.27637791633605957
"KMeansAlgorithm(k=19, Distance_Metric=euclidean)_0",19,euclidean,0,0.5774090321372479,0.7191364140892204,1.3343953859243773,0.28591660774636635,2113.0349290179506,0.13913488388061523
"KMeansAlgorithm(k=19, Distance_Metric=euclidean)_1",19,euclidean,1,0.5060124872347221,0.6810949635769327,1.3927130075541794,0.24979623049117364,2156.0381210398746,0.14467167854309082
