Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.7)_8",4,1.5,0.7,8,0.3193360938562613,0.5001341275604574,1.4537336380173833,0.2695239792745808,3361.039505219545,4,1.4114015102386475
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.7)_9",4,1.5,0.7,9,0.2962838422525515,0.480647907851077,1.5690506226200733,0.25439765500419537,3058.402867367357,4,1.456113576889038
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_0",4,1.5,0.9,0,0.31950114575528593,0.500411040664995,1.453521847472342,0.2695792448275281,3361.0372548389287,4,1.6175360679626465
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_1",4,1.5,0.9,1,0.31893920914624735,0.4998114072835261,1.4529168987898367,0.26954549624902857,3361.022142455798,4,0.8886988162994385
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_2",4,1.5,0.9,2,0.3189825286726727,0.49986214793755274,1.452833284887365,0.2695379573660733,3361.0181471559886,4,1.9895439147949219
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_3",4,1.5,0.9,3,0.3189825286726727,0.4998621479375527,1.4528332848873653,0.2695379573660733,3361.0181471559886,4,1.8046534061431885
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_4",4,1.5,0.9,4,0.3189825286726727,0.4998621479375526,1.452833284887365,0.2695379573660733,3361.0181471559886,4,0.6248128414154053
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_5",4,1.5,0.9,5,0.31950114575528593,0.5004110406649949,1.453521847472342,0.2695792448275281,3361.037254838929,4,0.6510469913482666
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_6",4,1.5,0.9,6,0.3113604992047071,0.5117083872072242,1.4654600903247608,0.26092670258446654,3061.382266540651,4,0.3560948371887207
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_7",4,1.5,0.9,7,0.31950114575528593,0.500411040664995,1.453521847472342,0.2695792448275281,3361.037254838929,4,0.45116162300109863
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_8",4,1.5,0.9,8,0.3189825286726727,0.4998621479375527,1.4528332848873653,0.2695379573660733,3361.0181471559886,4,0.8043804168701172
"FuzzyCMeans(n_clusters=4, fuzziness=1.5, rho=0.9)_9",4,1.5,0.9,9,0.3189825286726727,0.4998621479375527,1.4528332848873653,0.2695379573660733,3361.018147155988,4,0.521662712097168
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_0",4,2.0,0.5,0,0.31887286538554993,0.49940341855442344,1.4526507763735468,0.26952412004626575,3361.000631494146,4,0.4856882095336914
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_1",4,2.0,0.5,1,0.3187844263734886,0.4993271149445842,1.452594963870569,0.2695165779338336,3360.9985245213174,4,0.3701772689819336
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_2",4,2.0,0.5,2,0.31887286538554993,0.4994034185544235,1.4526507763735468,0.26952412004626575,3361.000631494146,4,0.4122045040130615
