Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=210)_0,210,0,0.0987748510070265,0.5917397218197388,1.509336914130499,0.14953647828930178,673.1245354645306,210,5.8287434577941895
XMeans(max_clusters=210)_1,210,1,0.0954519007977038,0.5882652088732312,1.5284952131951535,0.14834231621222457,672.9654144812193,210,6.574267148971558
XMeans(max_clusters=210)_2,210,2,0.1010966382251098,0.5927098096926323,1.4941214249898016,0.15231339081138837,671.5603435027206,210,5.5198211669921875
XMeans(max_clusters=210)_3,210,3,0.09832294030105061,0.5912455734239286,1.5178837134162353,0.15061692565965498,661.2519705769163,210,6.725004434585571
XMeans(max_clusters=210)_4,210,4,0.1027063597823443,0.5940201506199289,1.5084616096236636,0.15273913946982126,667.4010097960269,210,5.680482625961304
XMeans(max_clusters=211)_0,211,0,0.09879243107884998,0.5893871916543302,1.5193886268947154,0.15161690523286508,666.2578107885028,211,5.808086633682251
XMeans(max_clusters=211)_1,211,1,0.10040758700065519,0.591878296404554,1.477300746968835,0.1552022980718955,660.7204614163334,211,5.566313743591309
XMeans(max_clusters=211)_2,211,2,0.09721257288595804,0.5881551284724045,1.494624757852022,0.1499367909216152,664.6493690904534,211,6.758147478103638
XMeans(max_clusters=211)_3,211,3,0.10111077859582482,0.5924335065070397,1.4995500175175687,0.1535655336414756,664.8038548318922,211,6.795981407165527
XMeans(max_clusters=211)_4,211,4,0.10259865905027556,0.5941204541139277,1.5208604661743648,0.15387590929151684,668.4144901858017,211,5.704038858413696
XMeans(max_clusters=212)_0,212,0,0.09877575542353195,0.5936441029710361,1.492895608831697,0.15436544815945433,664.9779430110631,212,10.583308219909668
XMeans(max_clusters=212)_1,212,1,0.09819509000507466,0.5905563443330631,1.496355944074819,0.1497040682677216,667.1698092148972,212,6.958555698394775
XMeans(max_clusters=212)_2,212,2,0.09709685322330934,0.5914138780734448,1.5185004134972784,0.15098618336639752,668.9241410162306,212,5.736658096313477
XMeans(max_clusters=212)_3,212,3,0.10233233115795297,0.5955924250004483,1.485267217490725,0.15365252143368874,662.0346404232005,212,7.014202833175659
XMeans(max_clusters=212)_4,212,4,0.09910525081738916,0.5921673972188974,1.5121651858105634,0.15020347892537694,667.2240431739648,212,6.694279432296753
XMeans(max_clusters=213)_0,213,0,0.09771566406582186,0.5915525680454281,1.474738706809096,0.15408762449258673,668.4143980990963,213,7.586525917053223
XMeans(max_clusters=213)_1,213,1,0.09839923485707443,0.5933323626529848,1.5065051068096968,0.14866213706922676,657.6006021788356,213,9.469894170761108
XMeans(max_clusters=213)_2,213,2,0.09720315294675236,0.5919034333631485,1.5081596927579193,0.15211601336097022,660.5412201737048,213,6.893229007720947
XMeans(max_clusters=213)_3,213,3,0.10376978105289686,0.5941347800585324,1.4818364352440478,0.15412914810499712,656.3791636457709,213,8.832271337509155
XMeans(max_clusters=213)_4,213,4,0.09672853086486276,0.5903609579020425,1.4893878359024697,0.15318579402671398,669.4216742742337,213,6.714835166931152
XMeans(max_clusters=214)_0,214,0,0.09821514728721276,0.5917328225809961,1.4966752415584794,0.1498766434292187,659.9664574534943,214,7.019564867019653
XMeans(max_clusters=214)_1,214,1,0.0956582236106133,0.5883209971050047,1.4965460786831295,0.15236474679451065,665.9722337085218,214,7.8050923347473145
XMeans(max_clusters=214)_2,214,2,0.10026623697991469,0.5920978714277136,1.4938893439994962,0.15096828793290382,655.672064761036,214,7.7937963008880615
XMeans(max_clusters=214)_3,214,3,0.0963888036142208,0.5923132736258166,1.5122690968169148,0.1499183923380441,661.0987561141684,214,6.608585834503174
XMeans(max_clusters=214)_4,214,4,0.09864221712141825,0.5907109541495003,1.4853609794555878,0.15212274022050026,666.9771286783462,214,7.627556085586548
XMeans(max_clusters=215)_0,215,0,0.09818153420326871,0.5930704372243132,1.4767281860613566,0.1523509687655629,663.1825728031289,215,10.80817985534668
XMeans(max_clusters=215)_1,215,1,0.09447379987029855,0.5880625584819102,1.5099448266596438,0.14903378978388998,663.4983586189816,215,5.583037376403809
XMeans(max_clusters=215)_2,215,2,0.10047778119777546,0.5927659746555823,1.4801748573251183,0.1480528586650297,653.1773305522178,215,7.049115896224976
XMeans(max_clusters=215)_3,215,3,0.09826577315286347,0.5915754904319355,1.4916790545630736,0.150987392147979,658.4511176986623,215,5.955101490020752
XMeans(max_clusters=215)_4,215,4,0.09978180607372848,0.5925746979287659,1.4906155058048471,0.15334366056497023,669.0257547068329,215,7.851011514663696
XMeans(max_clusters=216)_0,216,0,0.09625533812807548,0.59245238183757,1.4805384417956116,0.15143966952748017,660.3067000453631,216,6.753915309906006
XMeans(max_clusters=216)_1,216,1,0.0954687743913625,0.5910309341284887,1.5025137928537053,0.1534620987622717,668.5072796569306,216,6.772550582885742
